Old,Year,New,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/bonds-outstanding-in-uk--1980-1990/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/bonuses-and-benefits-paid-to-uksa-2008-11/index.html,2008,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/budget-paid-to-eu-since-may-2010/index.html,2010,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/business-investment-q4-2010-provisional-results/index.html,2010,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/business-it-systems-and-servers/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/buy-to-let-statistics/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/census-prosecutions/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/chancellor-s-emergency-budget-5-year-forecast/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/changes-to-the-formulae-measure-of-how-the-rpi-is-cacluated/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/civil-service-employment-survey/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/classification-of-eu-ets-auction-receipts/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/conception-rates-among-under-16-girls-broken-down-by-local-authority-areas/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/contract-information-with-regards-to-the-organisation-s-telephone-system-maintenance/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/contract-to-provide-new-orders-in-construction/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/correspondence-on-providing-gdp-figures-for-wales-and-the-uk/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/data-protection-act-breaches-by-ons-employess-7-09---07-12/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/destruction-of-2011-census-paper-records/index.html,2011,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/details-on-the-organisations-local-area-network--lan--contract/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/discussions-about-changes-to-the-definition-of-gdp/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/evolution-of-english-and-american-mortgages-with-a-maturity-of-approximately-6-years/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/expenditure-of-each-of-the-civil-servants-in-your-department-on-the-government-procurement-card/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/external-consultants-used-in-preparation-for-select-committee-hearings-in-the-past-12-months/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/failure-to-complete-census-by-public/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/failure-to-complete-census-by-public-in-east-anglia/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/failure-to-complete-census-by-public-in-gravesham/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/feed-in-tariffs-as-tax-and-expenditure/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/filled-vacancies-and-headcount-at-ons-in-last-five-years/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/fines-paid-to-eu-from-uk-statistics-authority-since-may-2010/index.html,2010,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/gdp/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/gdp-estimated-comparisons/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/gdp-increase-and-compensation-of-employees/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/gpc-transactions-by-month-and-year-since-2009/index.html,2009,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/gross-value-added-by-industry-sectors/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/historical-private-sector-debt/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/household-income-quintile-boundaries/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ict-budgets/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ict-security-policies/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/imputed-rent-figures-methodology/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/income-tax--national-insurance--council-tax-and-vat/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/information-security/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/input-output-tables-for-the-95-different-sectors/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/it-network/index.html,,TNA,,
